Count;T2-T1;T3-T2;T4-T3;T4-T1
3103;-278054;501;279058;1505
3113;-256626;499;257626;1499
3123;-238258;496;239264;1502
3133;-222343;508;223337;1502
3143;-208416;501;209419;1504
3153;-196132;501;197127;1496
3163;-185199;498;186201;1500
3173;-175431;508;176420;1497
3183;-166637;498;167637;1498
3193;-158673;497;159679;1503
3203;-151439;497;152448;1506
3213;-144836;509;145825;1498
3223;-138776;498;139781;1503
3233;-133209;502;134204;1497
3243;-128061;498;129062;1499
3253;-123304;507;124295;1498
3263;-118882;499;119883;1500
3273;-114765;502;115764;1501
3283;-110920;497;111923;1500
3293;-107329;505;108322;1498
3303;-103959;501;104961;1503
3313;-100793;501;101791;1499
3323;-97812;499;98815;1502
3333;-95004;507;95997;1500
3343;-92348;497;93353;1502
3353;-89843;499;90841;1497
3363;-87463;496;88468;1501
3373;-85210;506;86203;1499
3383;-83066;501;84068;1503
3393;-81027;498;82034;1505
3403;-79088;498;80090;1500
3413;-77235;504;78231;1500
3423;-75470;502;76473;1505
3433;-73783;502;74780;1499
3443;-72166;496;73168;1498
3453;-70654;505;71614;1465
3463;-69138;501;70140;1503
3473;-67720;501;68716;1497
3483;-66347;491;67358;1502
3493;-65044;515;66027;1498
3503;-63775;502;64780;1507
3513;-62564;493;63571;1500
3523;-61390;485;62403;1498
3533;-60270;507;61265;1502
3543;-59183;502;60185;1504
3553;-58140;496;59137;1493
3563;-57120;484;58133;1497
3573;-56152;506;57143;1497
3583;-55207;505;56207;1505
3593;-54292;493;55298;1499
3603;-53408;497;54412;1501
3613;-52552;506;53549;1503
3623;-51724;503;52724;1503
3633;-50928;509;51922;1503
3643;-50133;486;51153;1506
3653;-49393;517;50375;1499
3663;-48655;509;49650;1504
3673;-47941;501;48939;1499
3683;-47245;492;48248;1495
3693;-46579;510;47571;1502
3703;-45922;497;46930;1505
3713;-45284;492;46292;1500
3723;-44660;493;45666;1499
3733;-44077;519;45055;1497
3743;-43471;495;44481;1505
3753;-42911;493;43915;1497
3763;-42340;494;43341;1495
3773;-41814;516;42794;1496
3783;-41282;501;42279;1498
3793;-40760;497;41762;1499
3803;-40265;499;41263;1497
3813;-39769;511;40759;1501
3823;-39288;498;40292;1502
3833;-38823;501;39823;1501
3843;-38359;495;39371;1507
3853;-37926;521;38908;1503
3863;-37479;491;38484;1496
3873;-37052;488;38063;1499
3883;-36633;492;37646;1505
3893;-36234;508;37223;1497
3903;-35829;502;36830;1503
3913;-35438;494;36442;1498
3923;-35062;508;36053;1499
3933;-34683;509;35677;1503
3943;-34312;493;35320;1501
3953;-33958;504;34954;1500
3963;-33598;495;34606;1503
3973;-33262;508;34254;1500
3983;-32916;486;33933;1503
3993;-32590;495;33599;1504
4003;-32270;507;33260;1497
4013;-31960;523;32938;1501
4023;-31633;494;32641;1502
4033;-31333;492;32342;1501
4043;-31023;485;32039;1501
4053;-30737;510;31728;1501
4063;-30437;488;31457;1508
4073;-30173;509;31160;1496
4083;-29888;508;30884;1504
4093;-29621;521;30604;1504
4103;-29341;501;30345;1505
4113;-29087;507;30073;1493
4123;-28816;498;29821;1503
4133;-28566;509;29558;1501
4143;-28308;488;29322;1502
4153;-28073;504;29064;1495
4163;-27819;494;28825;1500
4173;-27587;508;28578;1499
4183;-27347;495;28354;1502
4193;-27123;503;28116;1496
4203;-26903;509;27893;1499
4213;-26672;502;27669;1499
4223;-26449;494;27458;1503
4233;-26245;508;27235;1498
4243;-26031;507;27025;1501
4253;-25816;503;26809;1496
4263;-25607;499;26613;1505
4273;-25417;509;26404;1496
4283;-25209;495;26211;1497
4293;-25010;510;26003;1503
4303;-24825;501;25824;1500
4313;-24630;500;25626;1496
4323;-24445;506;25454;1515
4333;-24261;514;25255;1508
4343;-24098;501;25091;1494
4353;-23903;499;24906;1502
4363;-23715;499;24721;1505
4373;-23543;502;24554;1513
4383;-23397;496;24379;1478
4393;-23213;502;24214;1503
4403;-23043;497;24047;1501
4413;-22882;509;23873;1500
4423;-22730;498;23721;1489
4433;-22555;501;23557;1503
4443;-22399;497;23399;1497
4453;-22246;512;23233;1499
4463;-22091;501;23089;1499
4473;-21933;498;22940;1505
4483;-21788;499;22788;1499
4493;-21641;508;22632;1499
4503;-21493;501;22497;1505
4513;-21352;500;22355;1503
4523;-21206;496;22212;1502
4533;-21073;511;22063;1501
4543;-20931;501;21935;1505
4553;-20796;501;21796;1501
4563;-20657;495;21663;1501
4573;-20529;507;21521;1499
4583;-20395;500;21399;1504
4593;-20332;501;21266;1435
4603;-20132;496;21138;1502
4613;-20074;504;21005;1435
4623;-19887;501;20451;1065
4633;-19828;1001;20298;1471
4643;-19649;491;20176;1018
4653;-19569;506;20514;1451
4663;-19467;504;19967;1004
4673;-19290;1005;19820;1535
4683;-19229;996;19712;1479
4693;-19116;507;20050;1441
4703;-18942;502;19512;1072
4713;-18833;501;19830;1498
4723;-18718;497;19282;1061
4733;-18616;507;19608;1499
4743;-18537;999;19074;1536
4753;-18398;500;19396;1498
4763;-18352;497;18856;1001
4773;-18190;508;19183;1501
4783;-18130;501;19097;1468
4793;-18015;499;18978;1462
4803;-17912;495;18882;1465
4813;-17784;509;18775;1500
4823;-17682;1001;18246;1565
4833;-17586;501;18146;1061
4843;-17488;497;18046;1055
4853;-17415;512;18381;1478
4863;-17294;501;18296;1503
4873;-17250;502;18201;1453
4883;-17141;496;18114;1469
4893;-17072;509;18013;1450
4903;-16965;1001;17463;1499
4913;-16902;1005;17399;1502
4923;-16747;496;17749;1498
4933;-16727;506;17213;992
4943;-16567;999;17113;1545
4953;-16550;497;17051;998
4963;-16435;496;16937;998
4973;-16376;505;17317;1446
4983;-16230;502;17268;1540
4993;-16192;502;16710;1020
5003;-16121;496;16605;980
5013;-16048;504;16552;1008
5023;-15910;1001;16486;1577
5033;-15902;503;16831;1432
5043;-15752;997;16320;1565
5053;-15677;509;16669;1501
5063;-15660;1001;16160;1501
5073;-15523;501;16083;1061
5083;-15444;498;16002;1056
5093;-15368;507;16364;1503
5103;-15363;501;15860;998
5113;-15287;502;16224;1439
5123;-15185;497;15714;1026
5133;-15079;507;16073;1501
5143;-15070;501;15545;976
5153;-14933;499;15467;1033
5163;-14928;996;15429;1497
5173;-14841;505;15791;1455
5183;-14722;1001;15293;1572
5193;-14699;502;15192;995
5203;-14584;998;15125;1539
5213;-14521;510;15518;1507
5223;-14516;502;15457;1443
5233;-14431;1006;14952;1527
5243;-14385;497;15323;1435
5253;-14298;506;14792;1000
5263;-14189;500;15197;1508
5273;-14156;501;14691;1036
5283;-14063;496;15073;1506
5293;-14044;508;14995;1459
5303;-13940;1001;14482;1543
5313;-13919;500;14445;1026
5323;-13820;495;14823;1498
5333;-13806;506;14314;1014
5343;-13696;501;14704;1509
5353;-13644;507;14636;1499
5363;-13610;494;14118;1002
5373;-13582;510;14514;1442
5383;-13462;503;14027;1068
5393;-13471;501;14409;1439
5403;-13410;496;14388;1474
5413;-13330;510;14286;1466
5423;-13294;1002;13776;1484
5433;-13246;500;14182;1436
5443;-13161;496;13661;996
5453;-13132;511;14062;1441
5463;-13014;503;13581;1070
5473;-12966;503;13500;1037
5483;-12943;496;13479;1032
5493;-12903;505;13857;1459
5503;-12834;499;13369;1034
5513;-12792;499;13289;996
5523;-12711;997;13267;1553
5533;-12705;510;13647;1452
5543;-12663;999;13164;1500
5553;-12590;501;13081;992
5563;-12558;496;13064;1002
5573;-12488;506;13443;1461
5583;-12460;501;12969;1010
5593;-12412;498;13368;1454
5603;-12308;496;12841;1029
5613;-12290;508;13245;1463
5623;-12206;1003;12766;1563
5633;-12160;501;12726;1067
5643;-12165;496;12649;980
5653;-12101;509;13056;1464
5663;-12015;505;13055;1545
5673;-12044;498;12534;988
5683;-11957;495;12460;998
5693;-11880;506;12446;1072
5703;-11870;998;12402;1530
5713;-11846;499;12326;979
5723;-11745;494;12748;1497
5733;-11768;507;12256;995
5743;-11692;999;12198;1505
5753;-11623;503;12178;1058
5763;-11613;495;12136;1018
5773;-11590;505;12528;1443
5783;-11522;499;12489;1466
5793;-11511;503;12003;995
5803;-11390;488;11970;1068
5813;-11411;511;12358;1458
5823;-11369;497;12322;1450
5833;-11313;506;11834;1027
5843;-11269;498;11798;1027
5853;-11229;505;12193;1469
5863;-11218;503;12157;1442
5873;-11118;502;11679;1063
5883;-11139;498;11635;994
5893;-11073;1002;11575;1504
5903;-11032;499;11561;1028
5913;-10965;500;11522;1057
5923;-10917;996;11489;1568
5933;-10891;508;11440;1057
5943;-10841;501;11409;1069
5953;-10848;501;11345;998
5963;-10823;495;11773;1445
5973;-10770;510;11728;1468
5983;-10694;503;11232;1041
5993;-10665;501;11220;1056
6003;-10623;494;11181;1052
6013;-10628;507;11143;1022
6023;-10548;500;11553;1505
6033;-10517;498;11077;1058
6043;-10537;497;11017;977
6053;-10487;509;11440;1462
6063;-10407;500;11414;1507
6073;-10438;499;10937;998
6083;-10391;498;10874;981
6093;-10345;510;11301;1466
6103;-10268;1000;10837;1569
6113;-10238;499;10802;1063
6123;-10273;997;10745;1469
6133;-10173;510;10731;1068
6143;-10129;496;10702;1069
6153;-10159;1002;10665;1508
6163;-10161;497;10608;944
6173;-10070;508;11033;1471
6183;-10023;999;10547;1523
6193;-9978;501;10538;1061
6203;-9938;497;10495;1054
6213;-9943;506;10463;1026
6223;-9910;501;10882;1473
6233;-9850;1003;10411;1564
6243;-9848;496;10356;1004
6253;-9826;508;10781;1463
6263;-9785;500;10756;1471
6273;-9792;498;10294;1000
6283;-9727;501;10228;1002
6293;-9665;509;10217;1061
6303;-9629;498;10198;1067
6313;-9624;501;10166;1043
6323;-9605;498;10111;1004
6333;-9542;507;10095;1060
6343;-9515;500;10518;1503
6353;-9489;502;10046;1059
6363;-9490;496;9990;996
6373;-9460;509;9974;1023
6383;-9433;1001;9938;1506
6393;-9375;506;9926;1057
6403;-9341;496;9881;1036
6413;-9315;508;9867;1060
6423;-9348;502;9823;977
6433;-9296;504;9816;1024
6443;-9284;497;9774;987
6453;-9208;509;9753;1054
6463;-9219;999;9733;1513
6473;-9211;499;9713;1001
6483;-9158;496;9659;997
6493;-9154;509;9645;1000
6503;-9106;998;9607;1499
6513;-9084;506;9574;996
6523;-9052;496;9553;997
6533;-9056;507;9551;1002
6543;-8962;503;9524;1065
6553;-8999;501;9493;995
6563;-8941;494;9450;1003
6573;-8918;508;9878;1468
6583;-8893;501;9421;1029
6593;-8869;500;9370;1001
6603;-8807;500;9371;1064
6613;-8818;511;9778;1471
6623;-8825;500;9303;978
6633;-8770;1004;9297;1531
